,building_id,pv_latitude,pv_longitude,pv_production,installation_cost,carbon_emission,energy_consumption,households,quality
241,1422806,"[51.05269665993794, 51.05259889990442]","[3.693310589486338, 3.693343996891626]","[3574, 3578]","[2034.15, 2036.43]","[3657.4, 3661.49]","[2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld376', 'hhld377', 'hhld378', 'hhld379', 'hhld380', 'hhld381', 'hhld382', 'hhld383', 'hhld384', 'hhld385']",11513.85793741687
242,1422806,"[51.05342463736632, 51.05264855232615]","[3.6944102911665273, 3.693326419201395]","[17939, 3582]","[10210.02, 2038.7]","[1982.2, 3665.59]","[1418.256666666667, 2012.253333333333, 1418.256666666667, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 2577.95, 2577.95, 2577.95, 2577.95, 4227.811428571428, 2577.95, 2577.95, 1946.5308333333332, 1418.256666666667, 2012.253333333333, 2012.253333333333, 4227.811428571428, 4227.811428571428, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 4227.811428571428, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld165', 'hhld235', 'hhld164', 'hhld152', 'hhld151', 'hhld153', 'hhld365', 'hhld367', 'hhld369', 'hhld371', 'hhld330', 'hhld364', 'hhld366', 'hhld154', 'hhld163', 'hhld236', 'hhld237', 'hhld329', 'hhld331', 'hhld368', 'hhld370', 'hhld372', 'hhld373', 'hhld374', 'hhld332', 'hhld360', 'hhld375', 'hhld386', 'hhld387']",3054.1626291443613
49,1421729,"[51.05267591155356, 51.05300300400606, 51.05310557632765]","[3.694541336655735, 3.6933494157854754, 3.693317468840596]","[15216, 3780, 3290]","[8660.22, 2151.39, 1872.51]","[15571.07, 3868.21, 3366.77]","[2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld336', 'hhld337', 'hhld338', 'hhld339', 'hhld340', 'hhld341', 'hhld342', 'hhld343', 'hhld344', 'hhld345', 'hhld346', 'hhld347', 'hhld348', 'hhld349', 'hhld350', 'hhld351', 'hhld352', 'hhld353', 'hhld354', 'hhld355', 'hhld356', 'hhld357', 'hhld358', 'hhld359', 'hhld363', 'hhld361', 'hhld362']",5717.042626098441
91,1421725,"[51.05307549184351, 51.05408943511603]","[3.694946566904053, 3.6947327288363816]","[14759, 3192]","[8400.11, 1816.73]","[15103.4, 3266.49]","[2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld308', 'hhld309', 'hhld310', 'hhld311', 'hhld312', 'hhld313', 'hhld314', 'hhld315', 'hhld316', 'hhld317', 'hhld319', 'hhld307', 'hhld302', 'hhld304', 'hhld303', 'hhld305', 'hhld298', 'hhld301', 'hhld306', 'hhld297', 'hhld299', 'hhld300', 'hhld318']",3095.06285188741
311,1421730,[51.05277955003076],[3.6945074190414697],[14314],[8146.84],[14648.02],"[4227.811428571428, 4227.811428571428, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2621.901428571429]","['hhld334', 'hhld335', 'hhld92', 'hhld94', 'hhld27', 'hhld28', 'hhld93', 'hhld26', 'hhld44', 'hhld29', 'hhld46', 'hhld47', 'hhld30', 'hhld31', 'hhld39', 'hhld48', 'hhld214']",11232.509010407974
202,1421728,"[51.05293503949965, 51.0522529513618]","[3.6944530193521232, 3.695391223917604]","[14118, 1177]","[8035.29, 669.89]","[14447.45, 1204.47]","[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2324.219743589744, 2324.219743589744, 2852.16, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld273', 'hhld274', 'hhld275', 'hhld276', 'hhld277', 'hhld278', 'hhld279', 'hhld280', 'hhld281', 'hhld282', 'hhld283', 'hhld284', 'hhld285', 'hhld290', 'hhld291', 'hhld216', 'hhld292', 'hhld293', 'hhld294', 'hhld295']",3052.107957178289
344,1421495,"[51.05569069220756, 51.05145887500253, 51.05069310441822, 51.05158219208906]","[3.693486987601512, 3.6954520848163113, 3.695017764036486, 3.695399895263828]","[13109, 692, 1005, 1419]","[7461.01, 393.85, 572.0, 807.63]","[13414.9, 708.15, 13318.71, 718.38]","[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2621.901428571429, 2493.285, 2493.285, 3210.38, 3210.38, 2493.285, 2493.285]","['hhld255', 'hhld256', 'hhld257', 'hhld258', 'hhld259', 'hhld260', 'hhld261', 'hhld262', 'hhld263', 'hhld264', 'hhld265', 'hhld266', 'hhld267', 'hhld268', 'hhld190', 'hhld269', 'hhld270', 'hhld155', 'hhld156', 'hhld271', 'hhld272']",1521.7397632525858
53,5888225,[51.05068109931446],[3.695020435446472],[13015],[7407.51],[1028.45],"[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285]","['hhld238', 'hhld239', 'hhld240', 'hhld242', 'hhld244', 'hhld241', 'hhld243', 'hhld245', 'hhld246', 'hhld247', 'hhld248', 'hhld249', 'hhld250', 'hhld251', 'hhld252', 'hhld253']",5308.434783061807
54,5888225,"[51.05068109931446, 51.05342100527321, 51.05472764159642, 51.05443873042629]","[3.695020435446472, 3.693338327294867, 3.6941348880966447, 3.694341995788218]","[13015, 4802, 2115, 3167]","[7407.51, 2733.07, 1203.76, 1802.5]","[13318.71, 4914.06, 2164.35, 3240.9]","[2324.219743589744, 2852.16, 2237.046923076923, 2324.219743589744, 2852.16, 2852.16, 2324.219743589744, 2157.4874, 1937.3709090909088, 2852.16, 2157.4874, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2324.219743589744, 2157.4874, 2157.4874, 1937.3709090909088, 2852.16, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2324.219743589744, 2157.4874, 1937.3709090909088, 1815.34, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld328', 'hhld219', 'hhld223', 'hhld326', 'hhld217', 'hhld220', 'hhld325', 'hhld10', 'hhld179', 'hhld221', 'hhld11', 'hhld222', 'hhld224', 'hhld225', 'hhld226', 'hhld323', 'hhld2', 'hhld18', 'hhld178', 'hhld218', 'hhld227', 'hhld228', 'hhld229', 'hhld230', 'hhld231', 'hhld324', 'hhld1', 'hhld180', 'hhld287', 'hhld320', 'hhld321', 'hhld322']",885.8360218105448
122,1421272,"[51.05303014784354, 51.05153361597578, 51.05158219208906]","[3.694420693249242, 3.695428900369877, 3.695399895263828]","[11875, 702, 1419]","[6758.68, 399.54, 807.63]","[12152.11, 718.38, 1452.11]","[2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429]","['hhld192', 'hhld193', 'hhld194', 'hhld195', 'hhld196', 'hhld197', 'hhld198', 'hhld199', 'hhld200', 'hhld201', 'hhld202', 'hhld203', 'hhld204', 'hhld205', 'hhld206', 'hhld207', 'hhld191']",2734.771875010443
160,1421673,"[51.054674625587445, 51.05470571430149]","[3.694151200034452, 3.693205941300119]","[2650, 2475]","[1508.25, 1408.65]","[2711.84, 2532.75]","[1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 2324.219743589744]","['hhld181', 'hhld182', 'hhld183', 'hhld184', 'hhld185', 'hhld186', 'hhld187', 'hhld327']",5164.523226716331
273,1421727,"[51.05458919155247, 51.05449976224648]","[3.693130640615542, 3.693162940452316]","[3154, 8741]","[1795.11, 4974.96]","[3227.6, 8944.97]","[1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 1937.3709090909088, 2237.046923076923, 2237.046923076923, 2237.046923076923, 1937.3709090909088]","['hhld166', 'hhld167', 'hhld168', 'hhld169', 'hhld170', 'hhld171', 'hhld172', 'hhld173', 'hhld174', 'hhld175', 'hhld176', 'hhld233', 'hhld232', 'hhld234', 'hhld177']",4395.548956225192
251,5907066,"[51.05138279079578, 51.05069310441822]","[3.69477429493962, 3.695017764036486]","[5291, 1005]","[3011.38, 572.0]","[5414.47, 1028.45]","[3210.38, 3210.38, 3210.38, 3210.38, 3210.38, 2621.901428571429, 2621.901428571429, 3210.38, 2493.285]","['hhld157', 'hhld158', 'hhld159', 'hhld160', 'hhld162', 'hhld189', 'hhld188', 'hhld161', 'hhld254']",2883.717987280539
38,1421674,"[51.05250445750482, 51.051820370644734]","[3.6949515546354736, 3.693572843696789]","[8693, 1999]","[4947.64, 1137.73]","[8895.85, 2045.65]","[1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1815.34, 1946.5308333333332]","['hhld137', 'hhld138', 'hhld139', 'hhld140', 'hhld141', 'hhld142', 'hhld143', 'hhld144', 'hhld145', 'hhld146', 'hhld147', 'hhld148', 'hhld286', 'hhld149']",3973.070099591628
256,1421701,"[51.05256272148496, 51.05130223033356, 51.05142664703341]","[3.695360101319925, 3.6936861634096094, 3.693638825911084]","[8525, 944, 1748]","[4852.02, 537.28, 994.88]","[8723.93, 966.03, 4937.59]","[1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1815.34, 1946.5308333333332, 1946.5308333333332, 1815.34, 1946.5308333333332]","['hhld125', 'hhld126', 'hhld127', 'hhld128', 'hhld129', 'hhld130', 'hhld131', 'hhld132', 'hhld134', 'hhld288', 'hhld136', 'hhld133', 'hhld289', 'hhld135']",3352.7743439389856
162,1421702,"[51.05253832092604, 51.05130223033356]","[3.695197829900552, 3.6936861634096094]","[8089, 944]","[4603.87, 537.28]","[8277.76, 4597.85]","[1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332]","['hhld113', 'hhld114', 'hhld115', 'hhld116', 'hhld117', 'hhld118', 'hhld119', 'hhld120', 'hhld121', 'hhld122', 'hhld123', 'hhld124']",3097.8745971505145
336,1421496,"[51.05084339892922, 51.05110194952863]","[3.693994885359735, 3.69423714319914]","[2563, 2887]","[1458.74, 1643.14]","[2622.81, 2954.37]","[1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332]","['hhld107', 'hhld108', 'hhld109', 'hhld110', 'hhld111', 'hhld112', 'hhld106', 'hhld105']",9172.507730057716
48,1421792,"[51.0504361640543, 51.05063771354632]","[3.695294423000024, 3.69413072621867]","[7109, 642]","[4046.1, 365.4]","[7274.89, 656.98]","[1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332]","['hhld95', 'hhld96', 'hhld97', 'hhld98', 'hhld99', 'hhld100', 'hhld101', 'hhld102', 'hhld103', 'hhld104']",6066.395165456013
335,1422930,"[51.05507593321133, 51.0522529513618]","[3.69322747840656, 3.695391223917604]","[6308, 1177]","[3590.21, 669.89]","[6455.2, 2711.84]","[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2324.219743589744]","['hhld81', 'hhld82', 'hhld83', 'hhld84', 'hhld85', 'hhld86', 'hhld87', 'hhld88', 'hhld91', 'hhld296']",1763.0467310625231
75,1421534,[51.05304884326228],[3.694692641528387],[6294],[3582.24],[6440.87],"[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446]","['hhld71', 'hhld72', 'hhld73', 'hhld74', 'hhld75', 'hhld76', 'hhld77', 'hhld78', 'hhld79']",6596.984414510704
349,1422025,"[51.05471303562652, 51.05153361597578]","[3.6950884275875975, 3.695428900369877]","[5937, 702]","[3379.06, 399.54]","[6075.54, 1452.11]","[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 1946.5308333333332]","['hhld54', 'hhld55', 'hhld56', 'hhld57', 'hhld58', 'hhld59', 'hhld60', 'hhld61', 'hhld150']",1660.645087402975
350,1422025,"[51.05226673845704, 51.05216890449886]","[3.695465019655987, 3.694298593717469]","[2650, 5377]","[1508.25, 3060.33]","[1204.47, 33349.47]","[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2621.901428571429]","['hhld62', 'hhld63', 'hhld64', 'hhld65', 'hhld66', 'hhld67', 'hhld68', 'hhld69', 'hhld70', 'hhld89', 'hhld212']",5553.6971724864225
289,1422870,[51.05188209255604],[3.6954320155705473],[5838],[3322.71],[5974.23],"[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429]","['hhld49', 'hhld50', 'hhld51', 'hhld52', 'hhld211', 'hhld210', 'hhld209', 'hhld208']",3206.8172525724203
73,1422871,[51.05179001745585],[3.695464429208599],[5764],[3280.59],[5898.5],"[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2621.901428571429, 2621.901428571429, 2081.0305797101446, 2081.0305797101446]","['hhld40', 'hhld41', 'hhld42', 'hhld43', 'hhld215', 'hhld213', 'hhld90', 'hhld53']",3016.3605682339703
181,1421578,"[51.052218711659314, 51.05215721638049]","[3.69298529766438, 3.6948741650851606]","[5649, 2091]","[3215.14, 1190.1]","[5780.82, 2139.79]","[2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 4227.811428571428]","['hhld32', 'hhld33', 'hhld34', 'hhld35', 'hhld36', 'hhld37', 'hhld38', 'hhld45', 'hhld80', 'hhld333']",3675.5449588624138
274,1421698,[51.05379015629354],[3.696615972771828],[3239],[1843.48],[3314.58],"[2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874]","['hhld12', 'hhld13', 'hhld14', 'hhld15', 'hhld16', 'hhld17']",6630.635640194253
129,1421331,[51.05422417156581],[3.695935639695508],[4416],[2513.38],[4519.05],"[2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874]","['hhld4', 'hhld5', 'hhld6', 'hhld7', 'hhld9', 'hhld8', 'hhld3']",7660.319929924203
128,1421331,[51.05354434534572],[3.697449623667105],[3409],[1940.24],[3488.55],"[2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874, 2157.4874]","['hhld20', 'hhld21', 'hhld22', 'hhld23', 'hhld24', 'hhld25', 'hhld19']",4809.725834617159
